1,2,3
20,4,4
52,4,4
23,1,1
63,3,3
23,7,7
5,5,5
12,4,4
10,34,34
65,6,6
54,7,7
32,1,1
20,8,8
52,12,12
23,14,14
63,16,16
23,4,4
5,4,4
12,1,1
10,3,3
65,7,7
54,5,5
32,4,4
20,34,34
52,6,6
23,7,7
63,1,1
23,8,8
5,12,12
12,14,14
10,16,16
65,4,4
54,4,4
32,1,1
20,3,3
52,7,7
23,5,5
63,4,4
23,34,34
5,6,6
12,7,7
10,1,1
65,8,8
54,12,12
32,14,14
20,16,16
52,4,4
23,4,4
63,1,1
23,3,3
5,7,7
12,5,5
10,4,4
65,34,34
54,6,6
32,7,7
20,1,1
52,8,8
23,12,12
63,14,14
23,16,16
5,4,4
12,4,4
10,1,1
65,3,3
54,7,7
32,5,5
20,4,4
52,34,34
23,6,6
63,7,7
23,1,1
5,8,8
12,12,12
10,14,14
65,16,16
54,4,4
32,4,4
20,1,1
52,3,3
23,7,7
63,5,5
23,4,4
5,34,34
12,6,6
10,7,7
65,1,1
54,8,8
32,12,12
20,14,14
52,16,16
23,4,4
63,4,4
23,1,1
5,3,3
12,7,7
10,5,5
65,4,4
54,34,34
32,6,6
20,7,7
52,1,1
23,8,8
63,12,12
23,14,14
5,16,16
12,4,4
10,4,4
65,1,1
54,3,3
32,7,7
20,5,5
52,4,4
23,34,34
63,6,6
23,7,7
5,1,1
12,8,8
10,12,12
65,14,14
54,16,16
32,4,4
20,4,4
52,1,1
23,3,3
63,7,7
23,5,5
5,4,4
12,34,34
10,6,6
65,7,7
54,1,1
32,8,8
20,12,12
52,14,14
23,16,16
63,4,4
23,4,4
5,1,1
12,3,3
10,7,7
65,5,5
54,4,4
32,34,34
20,6,6
52,7,7
23,1,1
63,8,8
23,12,12
5,14,14
